"animal_name","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","twolegs","fourlegs","sixlegs","eightlegs","mammal","bird","reptile","fish","amphibian","bug","invertebrate"
"rhea","!has hair","has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"scorpion","!has hair","!has feather","!lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","!has backbone","breath in the air","poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"seahorse","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"seal","has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","has fins","!has legs","!has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"sealion","has hair","!has feather","!lays eggs","produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"seasnake","!has hair","!has feather","!lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","poisonous","!has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"seawasp","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"skimmer","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"skua","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"slowworm","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"slug","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"sole","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"sparrow","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"squirrel","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"starfish","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"stingray","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"swan","!has hair","has feather","lays eggs","!produce milk","can fly","live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"termite","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"toad","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"tortoise","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"tuatara","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"tuna","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"vampire","has hair","!has feather","!lays eggs","produce milk","can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"vole","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"vulture","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"wallaby","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"wasp","has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"wolf","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"worm","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"wren","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"turtle","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"chameleon","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"iguana","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"lizard","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"gecko","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"python","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","poisonous","!has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"boa","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"adder","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","poisonous","!has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"crocodile","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"alligator","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"gharial","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"skink","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","reptile","!fish","!amphibian","!bug","!invertebrate"
"anchovy","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"flounder","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"halibut","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"mackerel","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"barracuda","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"marlin","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"trout","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"salamander","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"siren","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"tree frog","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"dart frog","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"firebelly","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"wart toad","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","amphibian","!bug","!invertebrate"
"mosquito","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"hornet","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","a predator","!has teeth","!has backbone","breath in the air","poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"cricket","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"beetle","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"butterfly","has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"palmetto","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"cockroach","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"mantis","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"dragonfly","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"aphid","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"cicada","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"antlion","!has hair","!has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","bug","!invertebrate"
"scallop","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"spider","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","has teeth","!has backbone","breath in the air","poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"snail","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"silkworm","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","!a predator","!has teeth","!has backbone","breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"jellyfish","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","!has backbone","!breath in the air","poisonous","!has fins","!has legs","!has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"squid","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
